"","Source","Ligand","Receptor","Target","Weight"
"1","S:Mono","VEGFA","NRP1","T:Mono",1.1206335268
"2","S:Mono","VCAN","TLR1","T:Mono",2.5532114493
"3","S:Mono","TNF","TNFRSF1B","T:Mono",3.0271615331
"4","S:Mono","TNF","TNFRSF1A","T:Mono",1.5689926331
"5","S:Mono","TNF","LTBR","T:Mono",1.6194875431
"6","S:Mono","TNFSF10","TNFRSF10B","T:Mono",1.0449982946
"7","S:Mono","TIMP1","CD63","T:Mono",0.9556423292
"8","S:Mono","THBS1","CD47","T:Mono",1.5407823838
"9","S:Mono","THBS1","CD36","T:Mono",1.3711425138
"10","S:Mono","TGFB1","TGFBR2","T:Mono",0.6155575713
"11","S:Mono","TGFB1","TGFBR1","T:Mono",1.3935868513
"12","S:Mono","TGFB1","ENG","T:Mono",0.2238040713
"13","S:Mono","SEMA4D","CD72","T:Mono",1.4013370264
"14","S:Mono","SEMA4D","PLXNB2","T:Mono",1.2035621664
"15","S:Mono","SEMA4A","PLXND1","T:Mono",1.3287042627
"16","S:Mono","SELPLG","SELL","T:Mono",1.4549406929
"17","S:Mono","VCAN","SELL","T:Mono",1.9177098493
"18","S:Mono","S100A8","TLR4","T:Mono",5.4686602333
"19","S:Mono","S100A9","TLR4","T:Mono",4.8009936729
"20","S:Mono","RNASE2","TLR2","T:Mono",1.4261723302
"21","S:Mono","VCAN","TLR2","T:Mono",2.5058952493
"22","S:Mono","PLTP","ABCA1","T:Mono",1.3169019292
"23","S:Mono","PLAU","ST14","T:Mono",1.10592328
"24","S:Mono","MFNG","NOTCH2","T:Mono",1.3269137281
"25","S:Mono","PSEN1","NOTCH2","T:Mono",1.2874785066
"26","S:Mono","IL1B","IL1R2","T:Mono",4.081398428
"27","S:Mono","IL1RN","IL1R2","T:Mono",2.4410989745
"28","S:Mono","IL18","CD48","T:Mono",1.7991837405
"29","S:Mono","IL10","IL10RB","T:Mono",2.4385329349
"30","S:Mono","IL10","IL10RA","T:Mono",2.7306084349
"31","S:Mono","ICAM1","IL2RG","T:Mono",0.4193989363
"32","S:Mono","HMGB1","THBD","T:Mono",-0.3541535618
"33","S:Mono","HLA-B","CANX","T:Mono",1.5614720049
"34","S:Mono","HLA-A","APLP2","T:Mono",0.6681356262
"35","S:Mono","HBEGF","CD9","T:Mono",1.6070980495
"36","S:Mono","HBEGF","CD82","T:Mono",1.8404405495
"37","S:Mono","GPI","AMFR","T:Mono",0.8964409509
"38","S:Mono","GNAI2","C5AR1","T:Mono",2.7519223015
"39","S:Mono","RPS19","C5AR1","T:Mono",2.2239210596
"40","S:Mono","GNAI2","ADCY7","T:Mono",1.2837543015
"41","S:Mono","GNAS","ADCY7","T:Mono",1.1969120233
"42","S:Mono","FN1","PLAUR","T:Mono",1.6698053548
"43","S:Mono","PLAU","PLAUR","T:Mono",3.49577008
"44","S:Mono","FN1","SDC2","T:Mono",-1.0669040452
"45","S:Mono","TGFB1","SDC2","T:Mono",0.7530216713
"46","S:Mono","FN1","CD44","T:Mono",-0.1135057452
"47","S:Mono","HBEGF","CD44","T:Mono",2.4212117495
"48","S:Mono","PKM","CD44","T:Mono",1.343020878
"49","S:Mono","SPP1","CD44","T:Mono",1.7829639131
"50","S:Mono","VCAN","CD44","T:Mono",2.2609850493
"51","S:Mono","VIM","CD44","T:Mono",-0.2521285117
"52","S:Mono","EBI3","IL27RA","T:Mono",1.3866413812
"53","S:Mono","EBI3","IL6ST","T:Mono",0.5218573412
"54","S:Mono","OSM","IL6ST","T:Mono",0.6397334261
"55","S:Mono","CXCL12","CXCR4","T:Mono",0.0568000096
"56","S:Mono","CXCL12","CD4","T:Mono",-0.0289582904000001
"57","S:Mono","IL16","CD4","T:Mono",1.8261515443
"58","S:Mono","CCL2","CCR1","T:Mono",-0.3401842036
"59","S:Mono","CCL3","CCR1","T:Mono",4.0515643795
"60","S:Mono","CCL4","CCR1","T:Mono",3.7248956302
"61","S:Mono","C3","ITGB2","T:Mono",1.5132860135
"62","S:Mono","CTGF","ITGB2","T:Mono",-0.6690549555
"63","S:Mono","CYR61","ITGB2","T:Mono",-0.6810044978
"64","S:Mono","ICAM1","ITGB2","T:Mono",2.9275786363
"65","S:Mono","ICAM2","ITGB2","T:Mono",2.4624646063
"66","S:Mono","ICAM3","ITGB2","T:Mono",2.8111747759
"67","S:Mono","PLAU","ITGB2","T:Mono",3.04412808
"68","S:Mono","SELPLG","ITGB2","T:Mono",3.0228849929
"69","S:Mono","C3","ITGAX","T:Mono",0.1222656135
"70","S:Mono","ICAM1","ITGAX","T:Mono",1.4865582363
"71","S:Mono","C3","ITGAM","T:Mono",0.4278734135
"72","S:Mono","CTGF","ITGAM","T:Mono",-1.7964675555
"73","S:Mono","CYR61","ITGAM","T:Mono",-1.8124170978
"74","S:Mono","ICAM1","ITGAM","T:Mono",1.7931660363
"75","S:Mono","ICAM2","ITGAM","T:Mono",1.3120520063
"76","S:Mono","PLAU","ITGAM","T:Mono",1.92771548
"77","S:Mono","SELPLG","ITGAM","T:Mono",1.9064723929
"78","S:Mono","C3","CD81","T:Mono",-0.6823575865
"79","S:Mono","C3","CD46","T:Mono",-0.4074049065
"80","S:Mono","C3","C3AR1","T:Mono",0.9489310135
"81","S:Mono","C1QA","CD93","T:Mono",3.2231105595
"82","S:Mono","B2M","TFRC","T:Mono",1.6010194584
"83","S:Mono","B2M","LILRB2","T:Mono",2.2886922584
"84","S:Mono","HLA-A","LILRB2","T:Mono",1.3351568262
"85","S:Mono","HLA-B","LILRB2","T:Mono",2.3332629049
"86","S:Mono","HLA-C","LILRB2","T:Mono",1.9454457305
"87","S:Mono","B2M","LILRB1","T:Mono",1.3434519584
"88","S:Mono","HLA-A","LILRB1","T:Mono",0.7439165262
"89","S:Mono","HLA-B","LILRB1","T:Mono",1.5070226049
"90","S:Mono","HLA-C","LILRB1","T:Mono",1.2932054305
"91","S:Mono","B2M","HLA-F","T:Mono",0.6717468584
"92","S:Mono","CALR","HLA-F","T:Mono",0.6045104104
"93","S:Mono","ARF1","PLD2","T:Mono",0.8758916206
"94","S:Mono","ARF1","INSR","T:Mono",-0.2001843794
"95","S:Mono","NAMPT","INSR","T:Mono",1.0141276998
"96","S:Mono","APP","TNFRSF21","T:Mono",-0.0136007582000001
"97","S:Mono","TNF","TNFRSF21","T:Mono",1.6434353331
"98","S:Mono","APP","NCSTN","T:Mono",-0.1955847842
"99","S:Mono","PSEN1","NCSTN","T:Mono",1.1827476806
"100","S:Mono","APOE","SORL1","T:Mono",0.7862751896
"101","S:Mono","LRPAP1","SORL1","T:Mono",1.1491561296
"102","S:Mono","ANXA1","FPR3","T:Mono",1.9985632767
"103","S:Mono","HEBP1","FPR3","T:Mono",1.519704567
"104","S:Mono","ANXA1","FPR2","T:Mono",1.7914363767
"105","S:Mono","APP","FPR2","T:Mono",0.3313201418
"106","S:Mono","ANXA1","FPR1","T:Mono",3.3335036767
"107","S:Mono","GNAI2","FPR1","T:Mono",3.2392583015
"108","S:Mono","ADAM28","ITGA4","T:Mono",2.0358364237
"109","S:Mono","CD14","ITGA4","T:Mono",3.505395182
"110","S:Mono","F13A1","ITGA4","T:Mono",2.4765163991
"111","S:Mono","FN1","ITGA4","T:Mono",-0.2171609452
"112","S:Mono","SPP1","ITGA4","T:Mono",1.5593087131
"113","S:Mono","THBS1","ITGA4","T:Mono",1.7298817138
