source,target,relationship,weight
LRP1,T:Mono,receptor.cluster,-3.385881e-01
LRP1,T:Mø,receptor.cluster,1.072664e-02
LRP1,T:SC,receptor.cluster,1.421128e-01
LRP1,T:SMC,receptor.cluster,1.098979e+00
LRP1,T:PreB_CD34-,receptor.cluster,-8.414407e-01
LRP1,T:CH,receptor.cluster,3.060854e-01
LRP1,T:FB,receptor.cluster,1.118665e+00
LRP1,T:DC,receptor.cluster,-1.828084e-01
LRP1,T:Astrocyte,receptor.cluster,9.960464e-01
LRP1,T:Osteoblasts,receptor.cluster,4.928840e-02
AXL,T:Mono,receptor.cluster,-2.833619e-01
AXL,T:Mø,receptor.cluster,-1.655673e-01
AXL,T:SC,receptor.cluster,9.089853e-01
AXL,T:SMC,receptor.cluster,7.310805e-01
AXL,T:CH,receptor.cluster,1.328785e-01
AXL,T:FB,receptor.cluster,6.851223e-01
AXL,T:DC,receptor.cluster,-1.532189e-01
AXL,T:Neurons,receptor.cluster,8.580581e-01
AXL,T:Astrocyte,receptor.cluster,6.603421e-01
AXL,T:Osteoblasts,receptor.cluster,6.268324e-01
EPHA3,T:SMC,receptor.cluster,2.592164e-01
EPHA3,T:Astrocyte,receptor.cluster,1.001738e+00
EPHA3,T:Osteoblasts,receptor.cluster,7.392745e-01
ITGB1,T:Mono,receptor.cluster,-1.211849e+00
ITGB1,T:B_Cells,receptor.cluster,-1.506029e+00
ITGB1,T:ProB_CD34+,receptor.cluster,-1.225104e+00
ITGB1,T:Mø,receptor.cluster,-1.239933e+00
ITGB1,T:SC,receptor.cluster,7.824002e-01
ITGB1,T:EC,receptor.cluster,-4.293044e-01
ITGB1,T:T_Cells,receptor.cluster,-7.650134e-01
ITGB1,T:SMC,receptor.cluster,3.875549e-01
ITGB1,T:PreB_CD34-,receptor.cluster,-1.829940e+00
ITGB1,T:CH,receptor.cluster,1.048094e+00
ITGB1,T:NK,receptor.cluster,-2.013195e-01
ITGB1,T:FB,receptor.cluster,1.315409e-01
ITGB1,T:DC,receptor.cluster,-1.265756e+00
