"","Source","Ligand","Receptor","Target","Weight"
"2","S:Mono","VCAN","TLR1","T:Mono",2.5532114493
"3","S:Mono","TNF","TNFRSF1B","T:Mono",3.0271615331
"4","S:Mono","TNF","TNFRSF1A","T:Mono",1.5689926331
"5","S:Mono","TNF","LTBR","T:Mono",1.6194875431
"8","S:Mono","THBS1","CD47","T:Mono",1.5407823838
"17","S:Mono","VCAN","SELL","T:Mono",1.9177098493
"18","S:Mono","S100A8","TLR4","T:Mono",5.4686602333
"19","S:Mono","S100A9","TLR4","T:Mono",4.8009936729
"21","S:Mono","VCAN","TLR2","T:Mono",2.5058952493
"26","S:Mono","IL1B","IL1R2","T:Mono",4.081398428
"27","S:Mono","IL1RN","IL1R2","T:Mono",2.4410989745
"28","S:Mono","IL18","CD48","T:Mono",1.7991837405
"29","S:Mono","IL10","IL10RB","T:Mono",2.4385329349
"30","S:Mono","IL10","IL10RA","T:Mono",2.7306084349
"33","S:Mono","HLA-B","CANX","T:Mono",1.5614720049
"35","S:Mono","HBEGF","CD9","T:Mono",1.6070980495
"36","S:Mono","HBEGF","CD82","T:Mono",1.8404405495
"38","S:Mono","GNAI2","C5AR1","T:Mono",2.7519223015
"39","S:Mono","RPS19","C5AR1","T:Mono",2.2239210596
"42","S:Mono","FN1","PLAUR","T:Mono",1.6698053548
"43","S:Mono","PLAU","PLAUR","T:Mono",3.49577008
"47","S:Mono","HBEGF","CD44","T:Mono",2.4212117495
"49","S:Mono","SPP1","CD44","T:Mono",1.7829639131
"50","S:Mono","VCAN","CD44","T:Mono",2.2609850493
"57","S:Mono","IL16","CD4","T:Mono",1.8261515443
"59","S:Mono","CCL3","CCR1","T:Mono",4.0515643795
"60","S:Mono","CCL4","CCR1","T:Mono",3.7248956302
"61","S:Mono","C3","ITGB2","T:Mono",1.5132860135
"64","S:Mono","ICAM1","ITGB2","T:Mono",2.9275786363
"65","S:Mono","ICAM2","ITGB2","T:Mono",2.4624646063
"66","S:Mono","ICAM3","ITGB2","T:Mono",2.8111747759
"67","S:Mono","PLAU","ITGB2","T:Mono",3.04412808
"68","S:Mono","SELPLG","ITGB2","T:Mono",3.0228849929
"74","S:Mono","ICAM1","ITGAM","T:Mono",1.7931660363
"76","S:Mono","PLAU","ITGAM","T:Mono",1.92771548
"77","S:Mono","SELPLG","ITGAM","T:Mono",1.9064723929
"81","S:Mono","C1QA","CD93","T:Mono",3.2231105595
"82","S:Mono","B2M","TFRC","T:Mono",1.6010194584
"83","S:Mono","B2M","LILRB2","T:Mono",2.2886922584
"85","S:Mono","HLA-B","LILRB2","T:Mono",2.3332629049
"86","S:Mono","HLA-C","LILRB2","T:Mono",1.9454457305
"89","S:Mono","HLA-B","LILRB1","T:Mono",1.5070226049
"97","S:Mono","TNF","TNFRSF21","T:Mono",1.6434353331
"102","S:Mono","ANXA1","FPR3","T:Mono",1.9985632767
"103","S:Mono","HEBP1","FPR3","T:Mono",1.519704567
"104","S:Mono","ANXA1","FPR2","T:Mono",1.7914363767
"106","S:Mono","ANXA1","FPR1","T:Mono",3.3335036767
"107","S:Mono","GNAI2","FPR1","T:Mono",3.2392583015
"108","S:Mono","ADAM28","ITGA4","T:Mono",2.0358364237
"109","S:Mono","CD14","ITGA4","T:Mono",3.505395182
"110","S:Mono","F13A1","ITGA4","T:Mono",2.4765163991
"112","S:Mono","SPP1","ITGA4","T:Mono",1.5593087131
"113","S:Mono","THBS1","ITGA4","T:Mono",1.7298817138
"114","S:Mono","VCAN","ITGA4","T:Mono",1.9723298493
"118","S:Mono","CD14","ITGB1","T:Mono",1.981599482
"141","S:Mono","SERPINA1","LRP1","T:Mono",2.3381164687
"1","S:Mono","TNFSF13B","TNFRSF17","T:ProB_CD34+",2.7236109024
"22","S:Mono","TNFSF13B","TNFRSF13C","T:ProB_CD34+",3.6971909024
"51","S:Mono","SELPLG","SELL","T:ProB_CD34+",1.6546668929
"6","S:Mono","VCAN","SELL","T:ProB_CD34+",2.1174360493
"84","S:Mono","IL18","CD48","T:ProB_CD34+",2.6428644405
"11","S:Mono","THBS1","SDC1","T:ProB_CD34+",2.0072078138
"14","S:Mono","HBEGF","CD82","T:ProB_CD34+",2.7084996495
"16","S:Mono","HBEGF","CD44","T:ProB_CD34+",1.7425362495
